,Slope,Intercept
fglu-glu15,1.0756093508364044,18.476704039713184
glu15-glu30,1.0716581742461595,41.38979986091411
glu30-glu60,1.1554643005932366,28.891267687604795
glu60-glu90,1.0323944577882995,14.75178033880519
glu90-glu120,1.053341561927553,10.47111862294571
